Demand ID; Started at; Source Node; Destination node; Bitrate; Duration; Is success; Links in path; Path length; Required core; Required index
2; 0; 13; 27; 501; 1; True; [42, 47, 51, 52, 77]; (2458,); 1; 18
7; 1; 22; 8; 675; 1; True; [38, 52, 69, 70]; (1943,); 2; 3
19; 1; 12; 6; 925; 1; True; [31, 43]; (1047,); 2; 9
0; 0; 11; 4; 107; 2; True; [24, 38]; (933,); 2; 0
12; 1; 1; 8; 871; 1; True; [4, 10]; (867,); 2; 0
8; 1; 24; 11; 367; 1; True; [39, 73]; (1532,); 2; 0
10; 1; 17; 7; 214; 1; True; [6, 57]; (1347,); 2; 0
18; 1; 15; 26; 556; 1; True; [42, 52, 77, 81]; (2305,); 1; 17
16; 1; 19; 7; 918; 1; True; [0, 6, 61]; (1804,); 1; 0
34; 2; 24; 10; 294; 1; True; [35, 39, 73]; (2054,); 2; 36
22; 2; 6; 24; 470; 1; True; [23, 26, 29, 41]; (2019,); 2; 0
26; 2; 15; 14; 912; 1; True; [50, 53]; (776,); 1; 0
27; 2; 15; 16; 827; 1; True; [7, 8, 12, 24, 38, 52, 58]; (3586,); 0; 33
11; 1; 8; 14; 473; 2; True; [30, 37]; (990,); 1; 0
31; 2; 6; 26; 719; 1; True; [23, 26, 29, 42, 77, 81]; (3129,); 2; 36
32; 2; 14; 9; 645; 1; True; [34, 49]; (990,); 2; 3
33; 2; 24; 6; 80; 1; True; [22, 25, 28, 38, 73]; (2237,); 1; 27
3; 0; 20; 21; 616; 4; True; [13, 26, 40, 54, 63, 68, 71]; (4771,); 0; 0
53; 4; 5; 9; 298; 1; True; [20]; (327,); 1; 57
56; 4; 27; 7; 939; 1; True; [25, 28, 38, 76, 80]; (2506,); 2; 60
39; 3; 1; 20; 261; 2; True; [2, 3, 62]; (1666,); 2; 0
57; 4; 24; 22; 627; 1; True; [68, 71, 74]; (2502,); 2; 12
58; 5; 1; 0; 916; 11; False; None; None; None; None
29; 2; 23; 4; 984; 3; True; [24, 38, 52, 70]; (2021,); 2; 3
9; 1; 25; 5; 828; 4; True; [18, 22, 25, 28, 38, 76]; (2509,); 1; 0
43; 3; 5; 10; 340; 2; True; [20, 32]; (849,); 1; 12
81; 6; 27; 0; 975; 1; False; None; None; None; None
65; 5; 12; 21; 980; 1; True; [45]; (1500,); 2; 0
71; 6; 2; 0; 382; 15; False; None; None; None; None
15; 1; 10; 3; 86; 5; True; [27, 34]; (930,); 2; 0
95; 7; 7; 0; 823; 3; False; None; None; None; None
69; 6; 6; 3; 845; 1; True; [23, 27]; (745,); 2; 108
24; 2; 10; 25; 424; 5; True; [36, 42]; (1297,); 2; 0
68; 6; 12; 4; 149; 1; True; [9, 19, 23, 27, 31, 43]; (2269,); 1; 24
21; 1; 16; 10; 203; 6; True; [16, 20, 56, 59]; (2390,); 1; 0
73; 6; 17; 22; 480; 1; True; [4, 10, 30, 37, 48, 50, 57]; (3555,); 2; 78
80; 6; 7; 8; 597; 1; True; [25]; (592,); 2; 0
4; 0; 26; 14; 384; 7; True; [67, 71, 74, 78]; (3057,); 2; 0
81; 6; 27; 0; 975; 1; False; None; None; None; None
44; 4; 22; 16; 842; 3; True; [69, 70]; (1142,); 0; 0
13; 1; 16; 21; 153; 6; True; [16, 20, 33, 45, 56, 59]; (4610,); 1; 24
54; 4; 5; 23; 730; 4; True; [20, 32, 37, 51, 54]; (2427,); 1; 33
74; 6; 0; 14; 115; 2; True; [1, 10, 12, 30, 37]; (2263,); 0; 57
35; 3; 22; 2; 824; 5; True; [8, 27, 34, 47, 49, 67]; (2808,); 2; 36
28; 2; 24; 10; 769; 6; True; [35, 39, 73]; (2054,); 2; 12
30; 2; 5; 20; 659; 6; True; [9, 14, 19, 23, 27]; (2289,); 2; 15
87; 7; 3; 17; 793; 1; True; [7, 8, 12]; (1399,); 1; 0
91; 7; 18; 3; 561; 1; True; [4, 15, 59]; (1783,); 2; 108
75; 6; 0; 18; 962; 2; True; [0, 5, 17]; (1904,); 1; 0
52; 4; 1; 24; 766; 4; True; [4, 9, 13, 26, 41]; (2360,); 2; 54
14; 1; 18; 9; 605; 7; True; [16, 19, 23, 59]; (1792,); 1; 6
85; 7; 23; 15; 297; 1; True; [53, 70]; (1044,); 2; 0
55; 4; 25; 1; 925; 5; True; [11, 24, 38, 76]; (2013,); 2; 33
48; 4; 22; 3; 95; 5; True; [27, 34, 47, 49, 67]; (2415,); 0; 0
62; 5; 11; 19; 925; 4; True; [2, 11, 24, 38]; (2163,); 0; 0
105; 8; 27; 18; 432; 1; True; [7, 8, 12, 24, 38, 76, 80]; (3594,); 1; 0
106; 8; 16; 20; 553; 1; True; [2, 3, 55, 57, 62]; (3247,); 0; 54
108; 8; 25; 26; 94; 1; True; [77, 81]; (1345,); 2; 0
37; 3; 11; 15; 881; 6; True; [40]; (420,); 0; 36
76; 6; 19; 26; 994; 3; True; [1, 13, 26, 42, 61, 77, 81]; (4048,); 0; 60
5; 0; 12; 17; 558; 9; True; [7, 19, 21, 31, 43]; (2612,); 0; 0
61; 5; 25; 8; 660; 4; True; [38, 76]; (921,); 2; 0
125; 9; 16; 0; 931; 3; False; None; None; None; None
100; 8; 9; 21; 896; 2; True; [33, 45]; (2220,); 1; 3
126; 9; 23; 21; 132; 1; True; [14, 24, 38, 52, 70]; (3088,); 2; 24
40; 3; 5; 9; 407; 7; True; [20]; (327,); 1; 6
128; 9; 25; 12; 750; 1; True; [76]; (540,); 1; 42
95; 7; 7; 0; 823; 3; False; None; None; None; None
23; 2; 17; 7; 885; 8; True; [6, 57]; (1347,); 2; 6
118; 9; 7; 5; 103; 1; True; [18, 22, 25, 28]; (1588,); 1; 0
60; 5; 27; 13; 95; 5; True; [40, 46, 50, 53, 76, 80]; (3241,); 0; 51
63; 5; 22; 12; 985; 5; True; [52, 69, 70]; (1562,); 0; 18
104; 8; 21; 20; 714; 2; True; [2, 3, 19, 21, 31, 43, 65]; (4569,); 2; 72
72; 6; 25; 4; 848; 4; True; [24, 38, 76]; (1473,); 2; 114
82; 6; 7; 20; 544; 4; True; [14, 24]; (1619,); 2; 141
83; 7; 12; 10; 137; 3; True; [43]; (720,); 0; 36
120; 9; 10; 1; 55; 1; True; [9, 11, 27, 34]; (1729,); 2; 0
121; 9; 17; 5; 830; 1; True; [5, 57]; (1341,); 1; 0
122; 9; 0; 12; 301; 1; True; [0, 6, 20, 22, 33]; (2379,); 1; 99
86; 7; 16; 17; 329; 3; True; [55]; (834,); 0; 0
88; 7; 16; 24; 658; 3; True; [4, 9, 13, 26, 41, 55, 57]; (3941,); 2; 126
103; 8; 0; 18; 950; 3; True; [0, 5, 17]; (1904,); 1; 54
